Name,37204,37205,37207,37208,37212,37215,37218,37220,37228,37240
Black_Unanswered_loans,4,4,10,4,,,6,,,
Black_Male Owned_loans,16,18,424,210,28,18,148,6,26,
Black_Female Owned_loan_amnt,559952,69034,8187570,3592276,157244,418438,3382849,45604,609520,
Black_All_loans,44,26,946,422,42,34,340,10,60,
Black_All_loan_amnt,1074908,384698,16861144,8546450,823280,961408,6263200,256248,1062280,
Black_Female Owned_loans,24,4,512,208,14,16,186,4,34,
Black_Unanswered_loan_amnt,242514,16534,204034,49540,,,96696,,,
Black_Male Owned_loan_amnt,272442,299130,8469540,4904635,666036,542970,2783656,210644,452762,
