Name,37204,37205,37207,37208,37212,37215,37218,37220,37228,37240
Hispanic_Female Owned_loan_amnt,183512,,217130,20298,95122,,85028,63080,,
Hispanic_All_loan_amnt,5405074,432692,1120982,1112090,564240,609838,278228,63080,12684400,
Hispanic_Female Owned_loans,8,,14,4,12,,6,6,,
Hispanic_Unanswered_loan_amnt,,,,,,,,,4000000,
Hispanic_Male Owned_loan_amnt,5221562,432692,903852,1091792,469118,609838,193200,,8684400,
Hispanic_All_loans,44,12,34,16,20,6,16,6,4,
Hispanic_Male Owned_loans,36,12,20,12,8,6,10,,2,
