Name,37204,37205,37207,37208,37212,37215,37218,37220,37228,37240
White_Female Owned_loan_amnt,7221227,3524378,3011714,871916,3013740,7538797,97600,902252,1121962,
White_Female Owned_loans,132,144,58,36,142,158,10,54,12,
White_All_loans,376,350,184,136,406,380,34,114,48,
White_All_loan_amnt,37698826,13690270,13621730,9383430,20163594,20638248,1228784,3862596,10074678,
White_Unanswered_loan_amnt,3866964,295640,256144,742600,1407696,173670,,72416,335000,
White_Male Owned_loans,232,200,122,98,252,218,24,56,34,
White_Male Owned_loan_amnt,26610636,9870252,10353872,7768914,15742158,12925782,1131184,2887926,8617716,
White_Unanswered_loans,12,6,4,2,12,4,,4,2,
